Category: All categories

Month,health: (United States),money: (United States),justice: (United States),police: (United States),politics: (United States)
2020-05,70,60,12,42,3
2020-06,76,53,15,82,4
2020-07,85,56,11,39,4
2020-08,76,51,11,37,5
2020-09,81,53,15,35,6
2020-10,84,50,12,30,8
2020-11,77,48,10,24,9
2020-12,80,54,10,26,3
2021-01,99,57,9,31,5
2021-02,94,55,10,27,3
2021-03,93,51,20,29,3
2021-04,82,51,11,38,2
2021-05,75,55,8,29,2
2021-06,70,48,7,28,2
2021-07,78,51,7,30,2
2021-08,84,51,7,29,2
2021-09,87,51,8,28,2
2021-10,84,49,8,28,3
2021-11,84,48,8,26,3
2021-12,81,51,8,27,2
2022-01,100,58,10,28,3
2022-02,88,56,9,29,3
2022-03,87,55,11,27,3
2022-04,84,57,10,28,3
2022-05,84,54,10,30,3
2022-06,81,54,10,29,3
2022-07,79,57,9,32,3
2022-08,84,54,8,30,3
2022-09,82,53,8,28,3
2022-10,83,51,9,29,4
2022-11,80,53,9,26,5
2022-12,73,52,8,26,2
2023-01,89,58,8,35,3
2023-02,87,56,9,31,3
2023-03,87,55,8,30,3
2023-04,84,54,9,31,3
2023-05,82,55,8,30,3
2023-06,84,55,8,30,2
2023-07,77,54,7,29,2
2023-08,83,52,7,30,3
2023-09,84,56,8,30,3
2023-10,89,54,8,29,3
2023-11,81,53,8,28,3
2023-12,77,53,7,27,3
2024-01,90,61,9,27,3
2024-02,91,58,11,28,3
2024-03,88,55,8,28,3
2024-04,90,56,9,28,3
2024-05,83,54,8,30,3
2024-06,83,53,7,28,3
2024-07,86,55,7,29,4
2024-08,88,52,8,28,5
2024-09,89,54,8,28,5
2024-10,87,55,9,27,6
2024-11,86,55,9,25,6
2024-12,85,57,8,25,3
2025-01,95,62,9,29,3
2025-02,90,63,9,28,4
2025-03,93,59,8,27,4
